Posição 1,Posição 2,Posição 3,Posição 4,Posição 5,Posição 6,Posição 7,Posição 8,Posição 9,Posição 10,Posição 11,Posição 12,Posição 13,Posição 14,Posição 15,Posição 16,Posição 17,Posição 18,Posição 19,Posição 20,Posição 21,Posição 22,Posição 23,Posição 24,Posição 25,Posição 26,Posição 27,Posição 28,Posição 29,Posição 30,Posição 31,Posição 32,Posição 33,Posição 34,Posição 35,Posição 36,Posição 37,Posição 38,Posição 39,Posição 40,Posição 41,Posição 42,Melhor jogada,Probabilidade de vitória (%)
O,,O,X,X,O,,X,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,O,6,99.92557677995535
O,,O,X,X,O,,X,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,,X,,X,O,O,X,X,X,O,X,X,X,O,O,6,0.08501594048884166
O,,O,X,X,O,,X,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,O,X,,X,O,O,X,X,X,O,X,X,X,O,O,1,100.0
O,,O,X,X,O,,X,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,1,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19.577464788732392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,27.79874213836478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,15.003261578604043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,60.676532769556026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,25.225225225225223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,45.709946848899015
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,44.32432432432433
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,33.33333333333333
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,50.23809523809524
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,22.489082969432314
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,62.72605492297387
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,3,13.502015226153159
,,,,,,,,,,,,,,,,,,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,72.56651524983778
,,,,,,,,,,,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,17.147117296222664
,,,,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,70.38157894736841
,,,,,,,,,,O,,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,12.029746281714786
,,,O,,,,,,,O,,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,0,72.98272468838837
,,,O,,,,,,,O,,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,4,17.476555839727194
,,,O,,,,,,,O,O,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,2,76.01898837780324
,,,O,,,,,,X,O,O,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,4,22.649319929036075
,,,O,O,,,,,X,O,O,,,,,X,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,0,69.98008629273149
,,,O,O,,,,,X,O,O,,,,,X,X,X,,,,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,0,18.30601092896175
,,,O,O,,,,,X,O,O,,,,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,0,85.24670729310006
,,,O,O,,,,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,2,4.820344129554656
,,O,O,O,,,,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,0,97.58665271193745
,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,0,1.484129563427581
O,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,,6,99.50152833294146
O,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,,,X,O,X,X,X,O,X,5,0.563855421686747
O,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,,,X,,X,O,X,O,,X,O,X,X,X,O,X,5,99.85705877406879
O,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,,,O,,O,O,O,X,,X,,X,O,X,O,,X,O,X,X,X,O,X,5,0.161773032435493
O,,O,O,O,,,X,,X,O,O,,,X,,X,X,X,O,,O,,O,O,O,X,,X,,X,O,X,O,,X,O,X,X,X,O,X,5,100.0
O,,O,O,O,,,X,,X,O,O,X,,X,,X,X,X,O,,O,,O,O,O,X,,X,,X,O,X,O,,X,O,X,X,X,O,X,5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19.573901464713714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,30.239099859353026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,13.305322128851541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,64.26680783483324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,26.80722891566265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,47.66146993318486
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,43.89179755671902
